Model,Parm,5con,5con_s,corner_c,corner,corner_s,all_data_e1_e2,all_data_e1_e2_old
CopyTweak,specificity,3.238,3.239,2.099,3.165,3.841,3.218,3.197
CopyTweak,determinism,2.896,2.888,3.109,2.517,2.134,3.004,2.972
CopyTweak,nLL,6387.599,5691.037,689.837,1474.752,780.097,4904.745,4919.173
CopyTweak,AIC,12779.198,11386.075,1383.674,2953.503,1564.195,9813.489,9842.346
Representative,category_mean_bias,6.732,8.328,0.000,0.121,3.293,12.226,6.967
Representative,category_variance_bias,1.000,1.000,1.000,1.000,1.000,1.000,2.883
Representative,domain_variance_bias,1.897,2.898,0.001,0.001,0.001,7.041,1.029
Representative,determinism,2.453,3.879,0.514,0.482,1.122,10.214,2.861
Representative,nLL,5987.200,5212.282,744.921,1540.001,793.859,4387.738,4439.218
Representative,AIC,11982.400,10432.565,1497.841,3088.002,1595.718,8783.476,8886.436
PACKER,specificity,0.510,0.443,3.493,3.063,3.834,0.506,0.483
PACKER,theta_cntrst,3.028,3.341,1.382,0.382,0.000,3.088,3.163
PACKER,theta_target,3.461,3.679,2.848,2.443,2.131,3.473,3.494
PACKER,nLL,6008.584,5321.183,683.465,1473.397,780.097,4531.399,4544.614
PACKER,AIC,12023.169,10648.365,1372.931,2952.793,1566.195,9068.798,9095.228
Hier. Samp.,category_mean_bias,0.000,0.000,0.284,0.175,0.164,0.000,0.000
Hier. Samp.,category_variance_bias,3.268,4.595,1.474,1.000,1.000,5.440,5.597
Hier. Samp.,domain_variance_bias,0.074,0.059,0.001,0.001,0.001,0.052,0.055
Hier. Samp.,determinism,3.148,3.126,16.425,8.221,5.746,3.090,3.175
Hier. Samp.,nLL,6484.416,5736.442,699.415,1495.071,788.604,4936.980,4952.054
Hier. Samp.,AIC,12976.831,11480.885,1406.830,2998.142,1585.207,9881.960,9912.108
PACKERRep,specificity,0.113,0.151,541.915,0.853,0.000,0.302, 
PACKERRep,theta_cntrst,0.000,0.000,0.000,2.584,10.325,2.533, 
PACKERRep,theta_target,22.822,16.778,0.004,0.141,22475259.504,6.004, 
PACKERRep,nLL,6301.015,5604.203,704.370,1501.342,786.968,4814.583, 
PACKERRep,AIC,12608.030,11214.405,1414.739,3008.683,1579.936,9635.166, 
CopyTweakRep,specificity,0.114,0.150,237.858,0.854,0.010,0.302,0.263
CopyTweakRep,determinism,22.801,16.796,0.010,2.722,185.925,8.525,9.807
CopyTweakRep,nLL,6301.015,5604.203,704.442,1501.342,786.977,4814.583,4836.538
CopyTweakRep,AIC,12606.030,11212.405,1412.884,3006.683,1577.955,9633.166,9677.076
